WT	WT	WT	KO	KO	KO
1	2	3	1	2	3
0.039016102	-0.008535182	0.01097308	-0.024385176	0.001218824	-0.001218925
0.058524123	-0.00731593	0.068277893	-0.003657904	0.026823102	-0.001218925
0.253604337	0.05730439	0.314566663	0.192641561	0.226780321	0.060962893
0.508427866	0.304812412	0.574267198	0.46453461	0.488919358	0.314567171
0.688877064	0.554758936	0.748620139	0.659614824	0.686438075	0.569390701
0.805925193	0.721796369	0.863229765	0.78397846	0.816897968	0.740085888
0.890053535	0.832748241	0.944919604	0.871764556	0.907122567	0.853476262
0.955893107	0.913218829	1.011978428	0.940042631	0.977839144	0.935166102
1.01319792	0.97783915	1.066844738	0.998566695	1.036363209	1.001005674
1.061967973	1.03270546	1.115614791	1.048556	1.086352513	1.055871984
1.105861021	1.080256262	1.158288588	1.092449048	1.130245561	1.103422786
1.144877064	1.121710807	1.19608538	1.131465091	1.170480856	1.146096583
1.181454604	1.159507599	1.231443668	1.168042631	1.205839144	1.183893374
1.21437439	1.193646636	1.263144203	1.200962417	1.23875893	1.218032412
1.243636422	1.22412792	1.292406235	1.231443701	1.269240214	1.249732947
1.272898455	1.253389952	1.319229765	1.259486481	1.296063743	1.278994979
1.298502733	1.280213481	1.344834043	1.286310011	1.321668021	1.305818508
1.324107011	1.305817759	1.36921907	1.310695037	1.346053048	1.331422786
1.347272786	1.330202786	1.391165594	1.335080064	1.369218824	1.354588561
1.36921931	1.35214931	1.413112118	1.357026588	1.391165348	1.377754337
1.389946583	1.374095834	1.43383939	1.378973112	1.41189262	1.39848161
1.410673856	1.394823107	1.45212816	1.398481134	1.431400642	1.419208882
1.431401128	1.414331128	1.47041693	1.417989155	1.449689412	1.438716904
1.449689898	1.43383915	1.488705701	1.436277925	1.467978182	1.457005674
1.467978668	1.450908668	1.505775219	1.454566695	1.485047701	1.474075193
1.485048187	1.469197439	1.521625487	1.470416963	1.500897968	1.491144711
1.502117706	1.486266957	1.536256503	1.487486481	1.516748235	1.50821423
1.517967973	1.502117225	1.550887519	1.502117497	1.532598503	1.522845246
1.532598989	1.516748241	1.564299283	1.516748513	1.547229519	1.537476262
1.547230005	1.531379257	1.572834043	1.530160278	1.561860535	1.552107278
1.56064177	1.544791021	1.574053294	1.539914289	1.575272299	1.565519043
1.574053535	1.558202786	1.553326021	1.544791294	1.588684064	1.576492305
1.585026797	1.567956797	1.491144203	1.537475786	1.600876578	1.585027064
1.593561556	1.572833802	1.361903561	1.508213754	1.61184984	1.586246316
1.594780807	1.563079791	1.149753829	1.437497176	1.620384599	1.570396048
1.585026797	1.530160005	0.890053294	1.310695037	1.622823102	1.519187492
1.554545513	1.458224176	0.646203027	1.12171108	1.61184984	1.40823562
1.482609684	1.338737545	0.462096075	0.896149583	1.572833797	1.215593909
1.357026797	1.168042358	0.341390193	0.67424584	1.481389947	0.96077038
1.169262091	0.961988882	0.263358107	0.493796642	1.309475508	0.708385353
0.947358348	0.75959316	0.213368802	0.362117497	1.057090481	0.513305139
0.733989364	0.592555727	0.181668267	0.269454396	0.783978182	0.381625995
0.55719792	0.465753588	0.160940995	0.203614824	0.562074439	0.296278401
0.423080273	0.36699423	0.151186984	0.159721775	0.412106524	0.241412091
0.327978668	0.291400647	0.146309979	0.128021241	0.315785668	0.204834551
0.259700594	0.231657332	0.152406235	0.108513219	0.252384599	0.180449524
0.214588294	0.187764283	0.169475754	0.098759209	0.210930053	0.163380005
0.185326262	0.153625246	0.203614791	0.098759209	0.186545027	0.152406743
0.169475995	0.126801717	0.248727091	0.113390225	0.176791016	0.148748989
0.162160487	0.108512947	0.296277893	0.145090759	0.175571765	0.156064497
0.160941235	0.10241669	0.335293936	0.185326053	0.181668021	0.179230273
0.168256743	0.115828455	0.353582706	0.217026588	0.192641283	0.21336931
0.180449257	0.147528989	0.340170941	0.223122845	0.204833797	0.253604604
0.199957278	0.186545032	0.295058642	0.206053326	0.219464813	0.290182144
0.219465299	0.213368561	0.237753829	0.174352791	0.23531508	0.315786422
0.240192572	0.215807064	0.185326021	0.140213754	0.25360385	0.319444176
0.264577599	0.197518294	0.146309979	0.112170973	0.267015615	0.29505915
0.287743374	0.170694765	0.120705701	0.090224449	0.270673369	0.251166102
0.297497385	0.142651984	0.107293936	0.075593433	0.256042353	0.201176797
0.286524123	0.118266957	0.10241693	0.065839422	0.221903316	0.158503
0.260919845	0.097539684	0.106074684	0.062181668	0.178010267	0.128021717
0.226780807	0.082908668	0.120705701	0.064620171	0.136555722	0.112171449
0.187764765	0.071935406	0.149967733	0.074374182	0.108512941	0.104855941
0.154844979	0.063400647	0.199957037	0.093882203	0.093881925	0.107294444
0.130459952	0.059742893	0.268235112	0.131678995	0.08900492	0.119486957
0.113390433	0.058523642	0.347486449	0.185326053	0.097539679	0.146310487
0.10119792	0.059742893	0.425518535	0.242630866	0.115828449	0.196299791
0.095101663	0.064619898	0.486481102	0.286523914	0.141432727	0.26823562
0.095101663	0.080470166	0.52183939	0.310908941	0.175571765	0.348706209
0.102417171	0.12070546	0.525497144	0.317005198	0.215807059	0.42308054
0.115828936	0.190202786	0.497454364	0.310908941	0.258480856	0.480385353
0.138994711	0.265796369	0.449903561	0.296277925	0.29871615	0.512085888
0.180449257	0.320662679	0.399914257	0.280427658	0.334074439	0.516962893
0.235315567	0.345047706	0.358459711	0.265796642	0.358459465	0.497454872
0.288962626	0.340170701	0.332855433	0.253604128	0.366994225	0.462096583
0.342609684	0.319443428	0.32066292	0.247507872	0.359678717	0.425519043
0.406010754	0.297496904	0.324320674	0.251165626	0.340170695	0.393818508
0.473069578	0.276769631	0.340170941	0.268235144	0.31700492	0.374310487
0.521839631	0.256042358	0.364555968	0.302374182	0.296277647	0.365775727
0.540128401	0.240192091	0.396256503	0.348705733	0.285304385	0.370652733
0.531593642	0.226780326	0.431614791	0.395037283	0.286523636	0.388941503
0.505989364	0.218245567	0.459657572	0.42795707	0.299935401	0.413326529
0.464534818	0.21214931	0.476727091	0.442588086	0.320662674	0.436492305
0.421861021	0.206053053	0.476727091	0.438930332	0.345047701	0.454781075
0.386502733	0.203614551	0.45721907	0.424299316	0.370651979	0.464535086
0.358459952	0.208491556	0.421860781	0.399914289	0.391379251	0.460877332
0.33895193	0.22068407	0.374309979	0.370652257	0.407229519	0.442588561
0.327978668	0.242630594	0.324320674	0.340170973	0.413325775	0.414545781
0.331636422	0.273111877	0.277989123	0.312128193	0.40844877	0.376748989
0.353582947	0.30359316	0.241411583	0.287743166	0.388940749	0.334075193
0.396256743	0.320662679	0.215807305	0.267015893	0.360897968	0.292620647
0.453561556	0.319443428	0.197518535	0.249946374	0.32675893	0.257262358
0.515743374	0.302373909	0.185326021	0.23653461	0.29018139	0.228000326
0.570609684	0.27555038	0.178010513	0.224342096	0.256042353	0.204834551
0.605967973	0.24872685	0.173133508	0.214588086	0.22556107	0.188984283
0.616941235	0.223122572	0.169475754	0.206053326	0.203614545	0.17679177
0.598652465	0.201176048	0.167037251	0.198737818	0.187764278	0.168257011
0.554759417	0.184106529	0.164598749	0.192641561	0.176791016	0.162160754
0.499893107	0.171914016	0.163379497	0.188983807	0.169475508	0.156064497
0.447465299	0.160940754	0.160940995	0.187764556	0.164598503	0.152406743
0.402353	0.153625246	0.159721743	0.188983807	0.160940749	0.149968241
0.368213963	0.149967492	0.160940995	0.193860813	0.159721497	0.147529738
0.341390433	0.146309738	0.163379497	0.203614824	0.158502246	0.146310487
0.319443909	0.141432733	0.169475754	0.217026588	0.158502246	0.147529738
0.299935888	0.135336476	0.179229765	0.238973112	0.16216	0.152406743
0.28408562	0.130459471	0.196299283	0.27311215	0.169475508	0.160941503
0.270673856	0.126801717	0.223122813	0.315785947	0.181668021	0.175572519
0.258481342	0.124363214	0.258481102	0.359678995	0.199956791	0.198738294
0.249946583	0.12070546	0.299935647	0.395037283	0.223122567	0.230438829
0.243850326	0.118266957	0.33895169	0.416983807	0.248726845	0.263358615
0.240192572	0.115828455	0.366994471	0.423080064	0.273111872	0.292620647
0.240192572	0.115828455	0.379186984	0.413326053	0.296277647	0.31334792
0.242631075	0.119486209	0.377967733	0.395037283	0.31700492	0.321882679
0.249946583	0.128020968	0.365775219	0.371871508	0.336512941	0.317005674
0.262139096	0.145090487	0.343828695	0.348705733	0.349924706	0.299936155
0.286524123	0.171914016	0.317005166	0.32797846	0.354801711	0.275551128
