WT	WT	KO	KO
1	2	1	2
0.074374128	0.058524369	0.059742904	0.103636626
0.078031882	0.05974362	0.085347182	0.12558315
0.238973059	0.190203513	0.292619909	0.32675962
0.508427604	0.463315813	0.543785684	0.587679406
0.709604075	0.681561802	0.720577128	0.77300561
0.840063968	0.821775706	0.836406005	0.893711492
0.929069316	0.915658059	0.916876594	0.977839834
0.996128139	0.985155385	0.981496914	1.043679406
1.052213701	1.043679449	1.035143973	1.097326465
1.100983754	1.092449503	1.081475524	1.143658016
1.142438299	1.135123299	1.121710818	1.185112561
1.180235091	1.172920091	1.158288358	1.222909353
1.214374128	1.207059128	1.191208144	1.255829139
1.246074663	1.238759663	1.221689428	1.286310422
1.274117444	1.268021695	1.25095146	1.314353203
1.300940973	1.296064476	1.276555738	1.341176733
1.325326	1.321668754	1.300940765	1.365561759
1.349711027	1.344834529	1.32410654	1.388727535
1.371657551	1.368000305	1.346053064	1.410674059
1.392384824	1.388727578	1.366780337	1.431401332
1.411892845	1.40945485	1.38750761	1.450909353
1.431400866	1.428962872	1.40579638	1.469198123
1.449689636	1.447251642	1.42408515	1.486267642
1.466759155	1.46432116	1.44237392	1.502117909
1.482609422	1.481390679	1.458224187	1.516748925
1.497240439	1.497240947	1.474074455	1.526502936
1.511871455	1.511871963	1.489924722	1.53016069
1.521625465	1.525283727	1.504555738	1.519187428
1.522844717	1.536256989	1.517967503	1.480171385
1.506994449	1.542353246	1.528940765	1.394823791
1.45334739	1.533818487	1.535037021	1.23875962
1.341176267	1.498460198	1.528940765	1.020513631
1.157069316	1.414331856	1.492363225	0.786417374
0.918096053	1.255829182	1.403357877	0.584021652
0.67790354	1.02660993	1.239978198	0.435272989
0.490138834	0.774224904	1.007101193	0.336513631
0.363336695	0.562075171	0.747400658	0.275551064
0.277989102	0.412107257	0.524277663	0.236535021
0.22190354	0.312128647	0.370651995	0.210930743
0.182887497	0.247508326	0.274331139	0.195080476
0.156063968	0.207273032	0.213368572	0.185326465
0.137775198	0.180449503	0.175571781	0.182887963
0.126801936	0.164599235	0.152406005	0.192641973
0.123144182	0.15972223	0.138994241	0.213369246
0.132898193	0.165818487	0.131678733	0.238973524
0.153625465	0.179230251	0.131678733	0.264577802
0.179229743	0.197519021	0.141432743	0.287743578
0.202395519	0.220684797	0.16581777	0.314567107
0.225561294	0.253604583	0.212149321	0.343829139
0.251165572	0.29627838	0.277988893	0.364556412
0.271892845	0.340171428	0.356020979	0.36333716
0.279208353	0.374310465	0.43893007	0.329198123
0.260919583	0.377968219	0.509646647	0.27189331
0.22190354	0.34260993	0.542566433	0.214588497
0.170694984	0.282866615	0.519400658	0.170695449
0.126801936	0.221904048	0.441368572	0.14387192
0.097539904	0.173133995	0.33895146	0.13533716
0.081689636	0.142652711	0.249946112	0.149968176
0.076812631	0.130460198	0.187764294	0.187764968
0.087785893	0.136556455	0.151186754	0.240192775
0.114609422	0.158502979	0.132897984	0.302374594
0.156063968	0.19629977	0.12924023	0.369433417
0.209711027	0.254823834	0.145090497	0.434053738
0.269454342	0.326759663	0.185325791	0.490139299
0.325539904	0.407230251	0.262138626	0.529155342
0.371871455	0.482823834	0.371871246	0.54500561
0.397475733	0.543786401	0.497454134	0.527936091
0.397475733	0.576706187	0.610844508	0.48160454
0.368213701	0.571829182	0.699849856	0.420641973
0.319443647	0.530374636	0.754716166	0.365775663
0.269454342	0.466973567	0.773004936	0.327978872
0.231657551	0.404791749	0.743742904	0.304813096
0.209711027	0.354802444	0.663272316	0.291401332
0.198737765	0.323101909	0.557197449	0.286524326
0.196299262	0.304813139	0.458438091	0.286524326
0.201176267	0.297497631	0.386502262	0.287743578
0.207272524	0.297497631	0.337732209	0.288962829
0.213368781	0.301155385	0.308470176	0.286524326
0.218245786	0.308470893	0.295058412	0.28042807
0.219465037	0.313347898	0.292619909	0.269454807
0.215807283	0.31456715	0.296277663	0.25360454
0.206053273	0.308470893	0.303593171	0.231658016
0.190203005	0.291401374	0.308470176	0.207272989
0.169475733	0.267016348	0.306031674	0.184107214
0.14874846	0.237754316	0.296277663	0.164599193
0.129240439	0.208492283	0.279208144	0.149968176
0.114609422	0.184107257	0.256042369	0.140214166
0.10363616	0.164599235	0.22921884	0.131679406
0.097539904	0.151187471	0.203614561	0.126802401
0.092662898	0.14143346	0.182887289	0.121925396
