Young WT	Young KO	Old WT	Old KO	Old KO	Old KO
1	1	1	1	2	3
0.14143339	0.134117631	0.08290862	0.08534762	0.103636626	0.069497107
0.17801093	0.134117631	0.090224128	0.086566872	0.110952134	0.104855396
0.382845155	0.234096241	0.251165305	0.215807513	0.281647321	0.306031866
0.591337134	0.469411749	0.519400599	0.471850294	0.543786358	0.553539888
0.738866545	0.669368968	0.721796321	0.684000027	0.732770316	0.732769834
0.830310396	0.796171107	0.84859846	0.821775428	0.843722187	0.838844701
0.881518952	0.874203193	0.931507551	0.914438529	0.909561759	0.896149513
0.902246225	0.922973246	0.987593112	0.980278102	0.942481545	0.924192294
0.892492214	0.943700519	1.022951401	1.031486658	0.949797053	0.932727053
0.849818417	0.930288754	1.035143914	1.072941203	0.932727535	0.921753791
0.775444086	0.865668433	1.014416642	1.105860989	0.888834487	0.891272508
0.677903979	0.744962551	0.957111829	1.130246016	0.821775663	0.84737946
0.571829112	0.594994636	0.860790973	1.144877032	0.738866572	0.791293898
0.471850503	0.454780733	0.735208086	1.147315535	0.648641973	0.727892829
0.395037668	0.34260961	0.616940706	1.13390377	0.565732882	0.666930262
0.349925369	0.259700519	0.524277604	1.09732623	0.49989331	0.60109069
0.310909326	0.204834209	0.460876535	1.029048155	0.447465503	0.536470369
0.274331786	0.170695171	0.414544984	0.937604305	0.404791706	0.48282331
0.245069754	0.147529396	0.366994182	0.833967941	0.375529674	0.445026519
0.22312323	0.125582872	0.323101134	0.721796818	0.351144647	0.419422241
0.199957455	0.108513353	0.285304342	0.613283449	0.332855877	0.398694968
0.17801093	0.099978594	0.253603807	0.50477008	0.309690102	0.380406198
0.15972216	0.09632084	0.225561027	0.412106979	0.284085824	0.365775182
0.143871893	0.090224583	0.203614503	0.342609652	0.267016305	0.345047909
0.128021626	0.082909075	0.188983487	0.287743342	0.246289032	0.319443631
0.115829112	0.075593567	0.173133219	0.236534786	0.223123257	0.295058604
0.10485585	0.067058807	0.152405947	0.191422487	0.201176733	0.276769834
0.093882588	0.060962551	0.132897925	0.158502701	0.178010957	0.25482331
0.084128578	0.057304797	0.115828406	0.132898422	0.157283684	0.235315289
0.07681307	0.052427791	0.104855144	0.110951898	0.141433417	0.223122775
0.069497561	0.047550786	0.096320385	0.09388238	0.129240904	0.21824577
0.062182053	0.045112283	0.090224128	0.079251364	0.115829139	0.208491759
0.056085797	0.042673781	0.08290862	0.06705885	0.103636626	0.195079995
0.051208791	0.039016027	0.079250866	0.05730484	0.091444112	0.18166823
0.046331786	0.034139021	0.075593112	0.052427834	0.084128604	0.170694968
0.042674032	0.031700519	0.069496856	0.04877008	0.076813096	0.16337946
0.039016278	0.029262016	0.065839102	0.045112326	0.07071684	0.153625449
0.036577775	0.028042765	0.065839102	0.042673824	0.065839834	0.142652187
0.036577775	0.029262016	0.071935358	0.03901607	0.063401332	0.131678925
0.042674032	0.037796775	0.087785626	0.034139064	0.065839834	0.124363417
0.057305048	0.056085545	0.108512898	0.03048131	0.073155342	0.117047909
0.078032321	0.084128326	0.134117176	0.028042807	0.091444112	0.109732401
0.092663337	0.101197845	0.158502203	0.026823556	0.114609888	0.102416893
0.091444086	0.097540091	0.167036963	0.029262059	0.136556412	0.09997839
0.07681307	0.075593567	0.156063701	0.036577567	0.15362593	0.103636144
0.057305048	0.049989289	0.130459422	0.052427834	0.15362593	0.115828658
0.037797027	0.031700519	0.102416642	0.076812861	0.136556412	0.129240422
0.024385262	0.019508005	0.078031615	0.106074893	0.109732882	0.142652187
0.014631251	0.013411749	0.059742845	0.129240668	0.081690102	0.149967695
0.008534995	0.010973246	0.048769583	0.134117674	0.058524326	0.148748444
0.004877241	0.009753995	0.042673326	0.120705909	0.041454807	0.138994433
0.002438738	0.008534743	0.039015572	0.097540134	0.030481545	0.121924914
0.001219487	0.009753995	0.03657707	0.073155107	0.024385289	0.102416893
2.35294E-07	0.010973246	0.035357818	0.054866337	0.020727535	0.08168962
2.35294E-07	0.015850251	0.03657707	0.041454572	0.020727535	0.065839353
0.002438738	0.021946508	0.040234824	0.029262059	0.021946786	0.05364684
0.009754246	0.036577524	0.04633108	0.021946551	0.02560454	0.04511208
0.028043016	0.064620305	0.053646588	0.018288797	0.035358551	0.036577321
0.067059059	0.107294102	0.070716107	0.019508048	0.056085824	0.030481064
0.11339061	0.148748647	0.112170652	0.018288797	0.09875962	0.02682331
0.140214139	0.164598914	0.184106481	0.017069545	0.168256947	0.024384807
0.140214139	0.147529396	0.259700064	0.019508048	0.238973524	0.023165556
0.120706118	0.117048112	0.304812364	0.031700561	0.281647321	0.025604059
0.097540342	0.091443834	0.304812364	0.05730484	0.288962829	0.030481064
0.082909326	0.07803207	0.271892578	0.099978636	0.268235556	0.037796572
0.078032321	0.075593567	0.226780278	0.162160455	0.230438765	0.051208337
0.080470824	0.079251321	0.190202738	0.224342273	0.192641973	0.074374112
0.087786332	0.08778608	0.168256214	0.263358316	0.164599193	0.107293898
0.098759594	0.099978594	0.158502203	0.263358316	0.147529674	0.138994433
