WT	WT	WT	S6K1	S6K1	S6K1
WT 1A	WT 2A	WT 3A	S6K1- 4A	S6K1- 5A	S6K1- 6A
0.330417112	0.31944385	0.303593583	0.317005348	0.326759358	0.31944385
0.330417112	0.31944385	0.303593583	0.317005348	0.326759358	0.31944385
0.330417112	0.31944385	0.303593583	0.317005348	0.326759358	0.31944385
0.330417112	0.31944385	0.303593583	0.317005348	0.326759358	0.320663102
0.330417112	0.31944385	0.303593583	0.317005348	0.325540107	0.31944385
0.330417112	0.320663102	0.303593583	0.317005348	0.325540107	0.320663102
0.330417112	0.321882353	0.303593583	0.317005348	0.325540107	0.320663102
0.330417112	0.323101604	0.303593583	0.317005348	0.325540107	0.320663102
0.331636364	0.324320856	0.303593583	0.317005348	0.325540107	0.320663102
0.331636364	0.349925134	0.303593583	0.317005348	0.325540107	0.320663102
0.331636364	0.531593583	0.303593583	0.317005348	0.325540107	0.320663102
0.332855615	0.743743316	0.303593583	0.317005348	0.325540107	0.320663102
0.332855615	0.885176471	0.303593583	0.317005348	0.325540107	0.320663102
0.332855615	0.977839572	0.304812834	0.317005348	0.325540107	0.320663102
0.332855615	1.043679144	0.304812834	0.317005348	0.325540107	0.320663102
0.332855615	1.098545455	0.304812834	0.317005348	0.325540107	0.320663102
0.332855615	1.144877005	0.304812834	0.317005348	0.325540107	0.320663102
0.332855615	1.185112299	0.304812834	0.317005348	0.325540107	0.320663102
0.332855615	1.22168984	0.304812834	0.317005348	0.325540107	0.320663102
0.332855615	1.255828877	0.304812834	0.317005348	0.325540107	0.320663102
0.331636364	1.28631016	0.306032086	0.317005348	0.324320856	0.320663102
0.325540107	1.315572193	0.307251337	0.317005348	0.325540107	0.321882353
0.370652406	1.344834225	0.308470588	0.317005348	0.325540107	0.370652406
0.575486631	1.371657754	0.384064171	0.317005348	0.325540107	0.585240642
0.785197861	1.397262032	0.612064171	0.317005348	0.325540107	0.803486631
0.926631016	1.42286631	0.82055615	0.317005348	0.325540107	0.951016043
1.020513369	1.446032086	0.959550802	0.318224599	0.326759358	1.047336898
1.092449198	1.470417112	1.050994652	0.318224599	0.326759358	1.119272727
1.148534759	1.492363636	1.12171123	0.318224599	0.32797861	1.175358289
1.196085561	1.51431016	1.177796791	0.318224599	0.329197861	1.224128342
1.238759358	1.533818182	1.224128342	0.324320856	0.33773262	1.266802139
1.27655615	1.554545455	1.265582888	0.459657754	0.469411765	1.30459893
1.310695187	1.572834225	1.302160428	0.696192513	0.701069519	1.338737968
1.342395722	1.591122995	1.336299465	0.877860963	0.880299465	1.370438503
1.370438503	1.608192513	1.366780749	0.996128342	0.997347594	1.399700535
1.398481283	1.621604278	1.394823529	1.077818182	1.07659893	1.427743316
1.424085561	1.63257754	1.42286631	1.14	1.137561497	1.454566845
1.44968984	1.633796791	1.448470588	1.189989305	1.186331551	1.480171123
1.472855615	1.621604278	1.471636364	1.232663102	1.227786096	1.503336898
1.494802139	1.582588235	1.494802139	1.270459893	1.265582888	1.525283422
1.515529412	1.494802139	1.516748663	1.303379679	1.298502674	1.547229947
1.537475936	1.344834225	1.537475936	1.335080214	1.328983957	1.566737968
1.555764706	1.143657754	1.558203209	1.363122995	1.357026738	1.586245989
1.575272727	0.932727273	1.576491979	1.389946524	1.385069519	1.603315508
1.592342246	0.754716578	1.594780749	1.416770053	1.410673797	1.621604278
1.609411765	0.62059893	1.611850267	1.44115508	1.436278075	1.637454545
1.625262032	0.525497326	1.628919786	1.465540107	1.45944385	1.65086631
1.642331551	0.459657754	1.644770053	1.487486631	1.482609626	1.65940107
1.656962567	0.413326203	1.65940107	1.508213904	1.503336898	1.655743316
1.670374332	0.377967914	1.674032086	1.530160428	1.524064171	1.631358289
1.681347594	0.351144385	1.686224599	1.549668449	1.544791444	1.565518717
1.688663102	0.330417112	1.69597861	1.567957219	1.564299465	1.437497326
1.689882353	0.314566845	1.702074866	1.586245989	1.582588235	1.247294118
1.678909091	0.303593583	1.697197861	1.602096257	1.600877005	1.027828877
1.645989305	0.297497326	1.672812834	1.616727273	1.619165775	0.83031016
1.57771123	0.295058824	1.619165775	1.628919786	1.636235294	0.682780749
1.461882353	0.29140107	1.519187166	1.636235294	1.65086631	0.581582888
1.298502674	0.288962567	1.364342246	1.633796791	1.665497326	0.51086631
1.105860963	0.285304813	1.166823529	1.615508021	1.678909091	0.460877005
0.913219251	0.284085561	0.959550802	1.567957219	1.688663102	0.424299465
